location,population,last_recorded_total_cases,lr_pct_of_population_infected
"North America",592072204,37529487,6.338667268359047
Europe,748680069,44863478,5.992343039119958
"South America",430759772,24878216,5.775426958857245
Asia,4639847425,38702527,0.8341336137793367
Africa,1340598113,4557699,0.33997504216985275
Oceania,42677809,43570,0.10209052671846391
